Species,Order
Addax,Artiodactyla
Agouti,Rodentia
Armadillo,Cingulata
Artibeus jamaicensis,Chiroptera
Asellia,Chiroptera
Asian otter,Carnivora
Baboon,Primates
Bactrian deer,Artiodactyla
Bettongia,Diprotodontia
Blanford's fox,Carnivora
Blind mole,Eulipotyphla
Bottlenose dolphin,Cetacea
Brown lemur,Primates
Capra nubiana,Artiodactyla
Capuchin,Primates
Capybara,Rodentia
Caracal,Carnivora
Carollia perspicillata,Chiroptera
Cat,Carnivora
Caucasian squirrel,Rodentia
Chaerephon plicata,Chiroptera
Chimpanzee,Primates
Chinchilla,Rodentia
Chital,Artiodactyla
Colobus,Primates
Common fox,Carnivora
Common hedgehog,Eulipotyphla
Common treeshrew,Scandentia
Cow,Artiodactyla
Coypu,Rodentia
Cynopterus,Chiroptera
Deer,Artiodactyla
Degu,Rodentia
Dik-dik,Artiodactyla
Dog,Carnivora
Donkey,Perissodactyla
Eonycteris,Chiroptera
Eptesicus,Chiroptera
Fallow deer,Artiodactyla
Fennec fox,Carnivora
Ferret,Carnivora
Fruit bat,Chiroptera
Gerbil,Rodentia
Giraffe,Artiodactyla
Goat,Artiodactyla
Golden spiny mouse,Rodentia
Gorilla,Primates
Gray kangaroo,Diprotodontia
Green monkey,Primates
Hare,Lagomorpha
Himalayan bear,Carnivora
Hippopotamus amphibius,Artiodactyla
Honey badger,Carnivora
Horse,Perissodactyla
Howler monkey,Primates
Hyena,Carnivora
Hyrax,Hyracoidea
Indian hog deer,Artiodactyla
Jungle cat,Carnivora
Koala,Diprotodontia
Lama,Artiodactyla
Lemur catta,Primates
Leopard,Carnivora
Lycaon,Carnivora
Macaque,Primates
Macaque (black),Primates
Macaque (lion-tailed),Primates
Macaque (rhesus),Primates
Mandrill,Primates
Mangabey,Primates
Mara,Rodentia
Marmoset,Primates
Meerkat,Carnivora
Meriones,Rodentia
Miniopterus schreibersii,Chiroptera
Mongoose,Carnivora
Mouse,Rodentia
Myotis emarginatus,Chiroptera
Myotis myotis,Chiroptera
Myotis vivesi,Chiroptera
Nasua,Carnivora
Onager,Perissodactyla
Orangutan,Primates
Oryx,Artiodactyla
Otter,Carnivora
Palm squirrel,Rodentia
Pecari,Artiodactyla
Pipistrellus kuhlii,Chiroptera
Porcine,Artiodactyla
Porcupine,Rodentia
Prairie dog,Rodentia
Pteropus lylei,Chiroptera
Rabbit,Lagomorpha
Rat,Rodentia
Red kangaroo,Diprotodontia
Red-necked wallaby,Diprotodontia
Red panda,Carnivora
Rhinolophus,Chiroptera
Rhinopoma,Chiroptera
Sand cat,Carnivora
Sand hedgehog,Eulipotyphla
Sheep,Artiodactyla
Siamang,Primates
Skinny pig,Rodentia
Spiny mouse,Rodentia
Squirrel monkey,Primates
Striped dolphin,Cetacea
Sturnira lilium,Chiroptera
Tadarida teniotis,Chiroptera
Tamarin (cottontop),Primates
Tamarin (emperor),Primates
Tamarin (golden-handed),Primates
Tapir,Perissodactyla
Thomson's gazelle,Artiodactyla
Tiger,Carnivora
Vampire bat,Chiroptera
Vervet monkey,Primates
Vole,Rodentia
Wild boar,Artiodactyla
Wildebeest,Artiodactyla
Wild rabbit,Lagomorpha
Wild rat,Rodentia
Wolf,Carnivora
Zebra,Perissodactyla
